id,feature,screen,user_story,expected_behavior,edge_cases,status,error_notes,test_file,priority
PD-003,Property Details,PropertyDetailsView,"As a user, I want to like/unlike a property from the details page, so that I can save it to favorites","- Heart/favorite icon in header\n- Tap to toggle like state\n- Animated heart transition\n- API call: POST /swipes (is_liked)\n- State synced with Discover and Likes tabs","- Tap during loading\n- Network error during like\n- Like then immediately unlike\n- State not syncing across screens",fixed,"No retry on error, past date booking allowed, no loading during booking, empty image URL, WebView leak, tour buttons non-functional",test/features/property_details/presentation/controllers/property_details_controller_test.dart,P0
PD-004,Property Details,PropertyDetailsView,"As a user, I want to share a property link, so that I can send it to others","- Share button in header\n- Generates shareable link (/p/:id)\n- Uses share_plus package\n- Link opens app if installed, web if not\n- Deep link works without auth","- Share during loading\n- Very long property title in share text\n- Share to various apps\n- Link format correctness",fixed,"No retry on error, past date booking allowed, no loading during booking, empty image URL, WebView leak, tour buttons non-functional",test/features/property_details/presentation/controllers/property_details_controller_test.dart,P1
PD-005,Property Details,PropertyDetailsView,"As a user, I want to get directions to a property, so that I can visit it in person","- Directions button on map section\n- Opens Google Maps with property coordinates\n- Handles missing coordinates gracefully","- No coordinates available\n- Google Maps not installed\n- Very far property\n- Coordinates in wrong format",fixed,"No retry on error, past date booking allowed, no loading during booking, empty image URL, WebView leak, tour buttons non-functional",test/features/property_details/presentation/controllers/property_details_controller_test.dart,P1
PD-006,Property Details,PropertyDetailsView,"As a tablet user, I want a two-pane layout for property details, so that I can see more content at once","- iPad: image gallery on left, details on right\n- Phone: full-width scrollable layout\n- Responsive breakpoints\n- Smooth transition on resize","- Portrait/landscape rotation\n- Split view mode\n- Very narrow window",fixed,"No retry on error, past date booking allowed, no loading during booking, empty image URL, WebView leak, tour buttons non-functional",test/features/property_details/presentation/controllers/property_details_controller_test.dart,P2
PD-007,Property Details,PropertyDetailsView,"As a user, I want to access property details via deep link, so that I can open shared properties","- /p/:id and /property/:id routes work\n- No auth required (public access)\n- Property loaded by ID from API\n- Loading state while fetching\n- Error state for invalid/deleted property","- Invalid property ID\n- Deleted property\n- Very slow API response\n- Deep link while app in background\n- Auth required for like/schedule actions",fixed,"No retry on error, past date booking allowed, no loading during booking, empty image URL, WebView leak, tour buttons non-functional",test/features/property_details/presentation/controllers/property_details_controller_test.dart,P0
TOUR-001,360° Tour,TourView,"As a user, I want to view a 360° virtual tour in full screen, so that I can immerse myself in the property","- Full-screen WebView\n- JavaScript injection for Kuula tours\n- Touch gestures for pan/zoom\n- Loading indicator\n- Error fallback state","- Tour URL null/empty\n- WebView crashes\n- JavaScript injection fails\n- Very slow loading\n- Tour provider unavailable",fixed,"Share/fullscreen buttons non-functional, URL not sanitized before HTML embedding",test/features/tour/presentation/tour_view_test.dart,P0
TOUR-002,360° Tour,TourView,"As a user, I want to share a 360° tour link, so that I can send it to others","- Share button visible\n- Generates shareable tour URL\n- Uses share_plus package\n- Tour URL accessible in browser","- Share while tour loading\n- Tour URL very long\n- Share failure",fixed,"Share/fullscreen buttons non-functional, URL not sanitized before HTML embedding",test/features/tour/presentation/tour_view_test.dart,P1
TOUR-003,360° Tour,TourView,"As a user, I want a prompt to rotate my device for the best tour experience, so that I can see more detail","- Fullscreen suggestion shown\n- Device orientation detection\n- Prompt appears on portrait mode\n- Dismissable prompt\n- Auto-hides after timeout","- Already in landscape\n- Rotation lock enabled\n- Prompt dismissed quickly",fixed,"Share/fullscreen buttons non-functional, URL not sanitized before HTML embedding",test/features/tour/presentation/tour_view_test.dart,P2
ASSIST-001,AI Assistant,AssistantView,"As a user, I want to chat with an AI assistant about properties, so that I can get personalized recommendations","- Chat interface with message bubbles\n- Text input with send button\n- Messages sent to backend SSE endpoint\n- Streaming response with real-time display\n- Assistant messages formatted with Markdown","- Empty message send\n- Very long message\n- Network error during streaming\n- Multiple rapid messages\n- Special characters in message",fixed,"selectConversation no error handling, conversation_id type cast, swallowed errors in pagination, deleteConversation no loading, widget cache caches failures, stream subscription leak",test/features/assistant/presentation/controllers/assistant_controller_test.dart,P0
ASSIST-002,AI Assistant,AssistantView,"As a user, I want to see suggested prompts on first open, so that I know what to ask","- Suggested prompts shown on empty conversation\n- Tap suggested prompt sends it as message\n- Prompts relevant to property search\n- Prompts disappear after first message","- Prompts not loading\n- Tap prompt during loading\n- Very long suggested prompts",fixed,"selectConversation no error handling, conversation_id type cast, swallowed errors in pagination, deleteConversation no loading, widget cache caches failures, stream subscription leak",test/features/assistant/presentation/controllers/assistant_controller_test.dart,P1
ASSIST-003,AI Assistant,AssistantView,"As a user, I want to cancel a streaming AI response, so that I can stop unwanted output","- Cancel button appears during streaming\n- Tap stops the SSE stream\n- Partial response preserved\n- Input bar returns to normal state\n- API stream properly terminated","- Cancel immediately after send\n- Cancel during tool call\n- Cancel with very short response\n- Network drops during stream",fixed,"selectConversation no error handling, conversation_id type cast, swallowed errors in pagination, deleteConversation no loading, widget cache caches failures, stream subscription leak",test/features/assistant/presentation/controllers/assistant_controller_test.dart,P0
ASSIST-004,AI Assistant,AssistantView,"As a user, I want to see interactive property cards in chat, so that I can tap to view property details","- Widget bubbles render property cards\n- Cards show image, title, price\n- Tap card → PropertyDetailsView\n- Cards loaded from assistant tool calls\n- Multiple cards in single response","- Property card with missing image\n- Property no longer available\n- Very many cards in response\n- Card tap during streaming",fixed,"selectConversation no error handling, conversation_id type cast, swallowed errors in pagination, deleteConversation no loading, widget cache caches failures, stream subscription leak",test/features/assistant/presentation/controllers/assistant_controller_test.dart,P0
ASSIST-005,AI Assistant,AssistantView,"As a user, I want to start a new conversation or view history, so that I can manage my chats","- New conversation button\n- Conversation history with pagination\n- Delete conversation option\n- Cursor-based pagination\n- Loading states for history","- Empty history\n- Delete current conversation\n- Very long conversation history\n- History loading error",fixed,"selectConversation no error handling, conversation_id type cast, swallowed errors in pagination, deleteConversation no loading, widget cache caches failures, stream subscription leak",test/features/assistant/presentation/controllers/assistant_controller_test.dart,P1
PROF-001,Profile,ProfileView,"As a user, I want to view my profile, so that I can see my account info","- Profile header with avatar, name, email/phone\n- Profile completion progress bar\n- Settings menu items\n- Logout button at bottom\n- Version info","- Profile with minimal info\n- Very long name\n- Avatar not loaded\n- Progress bar at 0%",fixed,"Email edits silently discarded, double success toast, image picker stub, notification prefs local-only, theme not persisted immediately, theme names not localized, email support stub",test/features/profile/presentation/controllers/edit_profile_controller_test.dart,P0
PROF-002,Profile,EditProfileView,"As a user, I want to edit my profile, so that I can update my information","- Editable fields: name, email, location, DOB\n- Profile picture with camera overlay\n- Save button validates and submits\n- API: PUT /users/profile\n- Success toast and navigation back","- Empty required fields\n- Invalid email format\n- Very large profile picture\n- Network error during save\n- Upload failure for image",fixed,"Email edits silently discarded, double success toast, image picker stub, notification prefs local-only, theme not persisted immediately, theme names not localized, email support stub",test/features/profile/presentation/controllers/edit_profile_controller_test.dart,P0
PROF-003,Profile,PreferencesView,"As a user, I want to manage my notification preferences, so that I control what I receive","- Push notifications toggle\n- Email notifications toggle\n- Similar properties toggle\n- Preferences saved via PUT /users/preferences\n- Toggle state persisted","- Toggle during save\n- Rapid toggling\n- API error on save\n- Toggle doesn't persist",fixed,"Email edits silently discarded, double success toast, image picker stub, notification prefs local-only, theme not persisted immediately, theme names not localized, email support stub",test/features/profile/presentation/controllers/preferences_controller_test.dart,P1
PROF-004,Profile,PreferencesView,"As a user, I want to switch between light and dark themes, so that I can use my preferred appearance","- Theme selector: Light, Dark, System\n- Theme changes immediately\n- Persisted in GetStorage\n- System follows device setting\n- All screens respect theme","- Rapid theme switching\n- Theme during navigation\n- System theme change while app open\n- Theme persistence after restart",fixed,"Email edits silently discarded, double success toast, image picker stub, notification prefs local-only, theme not persisted immediately, theme names not localized, email support stub",test/features/profile/presentation/controllers/preferences_controller_test.dart,P1
PROF-005,Profile,PreferencesView,"As a user, I want to change the app language, so that I can use it in my preferred language","- Language selector: English, हिंदी\n- All text updates immediately\n- Persisted in GetStorage\n- GetX translations applied\n- ~2255 translation keys cover all text","- Switch during loading\n- Mixed language during transition\n- Missing translation keys\n- Language persistence after restart",fixed,"Email edits silently discarded, double success toast, image picker stub, notification prefs local-only, theme not persisted immediately, theme names not localized, email support stub",test/features/profile/presentation/controllers/preferences_controller_test.dart,P1
PROF-006,Profile,PrivacyView,"As a user, I want to change my password, so that I can keep my account secure","- Change password dialog\n- Current password, new password, confirm fields\n- Visibility toggles for all fields\n- Supabase updateUser called\n- Success/error feedback","- Wrong current password\n- New password same as current\n- Weak new password\n- Passwords don't match\n- Network error",fixed,"Email edits silently discarded, double success toast, image picker stub, notification prefs local-only, theme not persisted immediately, theme names not localized, email support stub",test/features/profile/presentation/controllers/profile_controller_test.dart,P0
PROF-007,Profile,PrivacyView,"As a user, I want to delete my account, so that I can remove my data from the platform","- Delete account button\n- Requires typing DELETE to confirm\n- API: DELETE /users/profile\n- All local data cleared\n- Redirect to splash/auth","- Typing delete incorrectly\n- Network error during deletion\n- Account deletion with pending visits\n- Confirmation UI clarity",fixed,"Email edits silently discarded, double success toast, image picker stub, notification prefs local-only, theme not persisted immediately, theme names not localized, email support stub",test/features/profile/data/profile_repository_test.dart,P0
PROF-008,Profile,FeedbackView,"As a user, I want to report a bug or request a feature, so that I can help improve the app","- Issue type dropdown (UI Bug, Functionality, Performance, Crash, Feature Request, Other)\n- Severity dropdown (Low/Medium/High/Critical)\n- Title, description, steps to reproduce\n- Expected/actual behavior fields\n- Tags\n- API: POST /bugs","- Empty required fields\n- Very long description\n- Submit during offline\n- All dropdown selections",fixed,"Email edits silently discarded, double success toast, image picker stub, notification prefs local-only, theme not persisted immediately, theme names not localized, email support stub",test/features/profile/presentation/controllers/feedback_controller_test.dart,P1
TOOL-001,Tools/Calculators,AreaConverterView,"As a user, I want to convert area between different units, so that I can understand property sizes","- Input field for value\n- Unit selector chips: sq ft, sq m, sq yd, acres, hectares, guntha, bigha, marla, kanal\n- Conversion results table updates in real-time\n- All conversions mathematically correct","- Zero input\n- Negative input\n- Very large numbers\n- Decimal precision\n- Unit with no standard conversion",fixed,"EMI chart flex overflow, tenure accepts decimals, no validation feedback, capital gains misclassification, no year validation, hardcoded years",test/features/tools/presentation/controllers/emi_calculator_controller_test.dart,P1
TOOL-002,Tools/Calculators,LoanEligibilityView,"As a user, I want to check my home loan eligibility, so that I can plan my budget","- Income, age, existing EMI fields\n- Credit score slider (300-900)\n- Interest rate slider (6-15%)\n- Results: max loan amount, eligible EMI, max tenure\n- Real-time calculation","- Zero income\n- Age below 18 or above 70\n- EMI exceeds income\n- Credit score at boundaries\n- Very high income values",fixed,"EMI chart flex overflow, tenure accepts decimals, no validation feedback, capital gains misclassification, no year validation, hardcoded years",test/features/tools/presentation/controllers/emi_calculator_controller_test.dart,P1
TOOL-003,Tools/Calculators,EmiCalculatorView,"As a user, I want to calculate EMI for a home loan, so that I can plan monthly payments","- Loan amount input\n- Interest rate input\n- Tenure with years/months segmented button\n- Results: monthly EMI, total interest, total payment\n- Breakdown chart visualization","- Zero loan amount\n- Zero interest rate\n- Very long tenure (30+ years)\n- Very small loan amount\n- Interest rate at 0.1%",fixed,"EMI chart flex overflow, tenure accepts decimals, no validation feedback, capital gains misclassification, no year validation, hardcoded years",test/features/tools/presentation/controllers/emi_calculator_controller_test.dart,P1
TOOL-004,Tools/Calculators,CarpetAreaView,"As a user, I want to calculate carpet area from super built-up area, so that I understand actual usable space","- Super built-up area input\n- Loading percentage slider (15-40%)\n- Results: carpet area, built-up area, super built-up, usable percentage\n- Real-time calculation","- Zero area\n- 100% loading (edge case)\n- Very large area values\n- Minimum loading percentage",fixed,"EMI chart flex overflow, tenure accepts decimals, no validation feedback, capital gains misclassification, no year validation, hardcoded years",test/features/tools/presentation/controllers/emi_calculator_controller_test.dart,P2
TOOL-005,Tools/Calculators,DocumentChecklistView,"As a user, I want a checklist of documents needed for property purchase, so that I can prepare properly","- 20+ documents across 5 categories (Identity, Financial, Property, Legal)\n- Progress bar showing completion\n- Checkbox items with descriptions\n- Progress persisted locally\n- Reset dialog to clear all","- All checked\n- None checked\n- Reset mid-progress\n- Very long document descriptions\n- State persistence across sessions",fixed,"EMI chart flex overflow, tenure accepts decimals, no validation feedback, capital gains misclassification, no year validation, hardcoded years",test/features/tools/presentation/controllers/emi_calculator_controller_test.dart,P2
TOOL-006,Tools/Calculators,CapitalGainsView,"As a user, I want to calculate capital gains tax on property sale, so that I understand my tax liability","- Purchase price and year inputs\n- Improvement cost input\n- Sale price and year inputs\n- Year dropdowns with validation\n- Results: indexed cost, capital gain, tax with/without indexation\n- Recommended option highlighted\n- Section 54 exemption info","- Sale before purchase year\n- Zero values\n- Very old purchase year\n- Same purchase and sale year\n- Negative improvement cost",fixed,"EMI chart flex overflow, tenure accepts decimals, no validation feedback, capital gains misclassification, no year validation, hardcoded years",test/features/tools/presentation/controllers/emi_calculator_controller_test.dart,P1
TOOL-007,Tools/Calculators,ToolsView,"As a user, I want a tools hub page, so that I can easily access all calculators","- 2-column grid of tool cards\n- Each card has icon, title, description\n- Tap navigates to specific tool\n- Clean layout with consistent styling","- Very long tool descriptions\n- Responsive layout on tablet\n- Back navigation from tool",fixed,"EMI chart flex overflow, tenure accepts decimals, no validation feedback, capital gains misclassification, no year validation, hardcoded years",test/features/tools/presentation/controllers/emi_calculator_controller_test.dart,P2
LOC-001,Location Search,LocationSearchView,"As a user, I want to search for a location using autocomplete, so that I can find places quickly","- Search bar with real-time autocomplete\n- Google Places API suggestions\n- Debounced API calls\n- Tap suggestion to select\n- Selected location returned to caller","- Empty search results\n- Very fast typing (debounce)\n- Network error during search\n- Google Places API quota exceeded\n- Special characters in search",fixed,"selectPlace no catch block, no concurrent guard, API failures show wrong state",test/features/location_search/presentation/controllers/location_search_controller_test.dart,P0
LOC-002,Location Search,LocationSearchView,"As a user, I want to use my current GPS location, so that I can search near where I am","- 'Use Current Location' tile at top\n- Requests permission if needed\n- GPS coordinates reverse-geocoded\n- Loading indicator during location fetch\n- Error state if GPS unavailable","- GPS disabled\n- Permission denied\n- Indoor location (poor accuracy)\n- Location fetch timeout\n- Reverse geocoding failure",fixed,"selectPlace no catch block, no concurrent guard, API failures show wrong state",test/features/location_search/presentation/controllers/location_search_controller_test.dart,P0
LOC-003,Location Search,LocationSearchView,"As a user, I want to see popular cities, so that I can quickly select a major city","- Popular cities section below search\n- Common Indian cities listed\n- Tap to select city\n- Cities loaded from config/cache","- No cities available\n- City list loading failure\n- Select city during search",fixed,"selectPlace no catch block, no concurrent guard, API failures show wrong state",test/features/location_search/presentation/controllers/location_search_controller_test.dart,P2
NOTIF-001,Notifications,PushNotificationsService,"As a user, I want to receive push notifications about property updates, so that I stay informed","- FCM token registered on login\n- Device token sent to backend\n- Foreground messages shown as local notifications\n- Background messages handled by FCM\n- Notification tap navigates to relevant screen","- Permission denied\n- Token registration failure\n- Notification while app killed\n- Multiple rapid notifications\n- Token refresh",partial,"Known issues documented: iOS notification check always returns true, notification ID collision risk, 500ms delay race condition — infrastructure issues requiring platform-level fixes",test/features/notifications/data/notifications_remote_datasource_test.dart,P0
NOTIF-002,Notifications,PushNotificationsService,"As a user, I want notification taps to take me to the relevant screen, so that I can act on notifications","- Deep link from notification payload\n- Navigate to property/visit/etc\n- Handle app cold start from notification\n- Handle foreground notification tap\n- Handle background notification tap","- Invalid deep link in payload\n- Target content deleted\n- App in killed state\n- Malformed notification data",partial,"Known issues documented: iOS notification check always returns true, notification ID collision risk, 500ms delay race condition — infrastructure issues requiring platform-level fixes",test/features/notifications/data/notifications_remote_datasource_test.dart,P0
NOTIF-003,Notifications,PushNotificationsService,"As a user, I want to control notification permissions, so that I can manage my privacy","- Permission request on first relevant action\n- Graceful handling of denied permission\n- Settings redirect for permanently denied\n- Token unregistration on logout","- Permission revoked after granting\n- Permission dialog dismissed\n- Settings page redirect\n- Re-grant after denial",partial,"Known issues documented: iOS notification check always returns true, notification ID collision risk, 500ms delay race condition — infrastructure issues requiring platform-level fixes",test/features/notifications/data/notifications_remote_datasource_test.dart,P1
DEEP-001,Deep Linking,DeepLinkService,"As a user, I want to open a shared property link, so that I can view a property someone sent me","- app_links package handles incoming links\n- /p/:id and /property/:id patterns matched\n- Navigates to PropertyDetailsView\n- Works when app is running, background, or killed\n- No auth required for viewing","- Invalid property ID\n- Property deleted\n- Very slow app cold start\n- Link format variations\n- Network error loading property",pass,"No issues found in code review",,P0
DEEP-002,Deep Linking,DeepLinkService,"As a user, I want OAuth login callbacks to work via deep links, so that social login completes properly","- ghar360://login-callback handled\n- Supabase session established\n- Auth state updates correctly\n- Navigation to appropriate screen post-OAuth","- OAuth callback with error\n- Callback arrives very late\n- App killed during OAuth\n- Multiple callback attempts",pass,"No issues found in code review",,P0
DEEP-003,Deep Linking,DeepLinkService,"As a user, I want deep links to work when the app is cold-started, so that shared links always open correctly","- App launched from deep link\n- Link processed after initialization\n- Navigation occurs after auth check\n- Loading state while processing","- Very slow cold start\n- Auth required for linked content\n- Multiple deep links queued\n- Link processed before init complete",pass,"No issues found in code review",,P0
CORE-001,Core Infrastructure,ThemeController,"As a user, I want the app to support light and dark themes, so that I can use it comfortably in different environments","- Light and dark themes defined in AppDesignTheme\n- Theme toggle in Preferences\n- System theme auto-detection\n- Theme persisted in GetStorage\n- All widgets respect current theme","- Theme during page transition\n- Theme with custom colors\n- System theme change notification\n- Rapid theme switching",fixed,"AppToast null context crash, AuthMiddleware missing requiresPasswordSetup, AuthNavigationService force-unwrap, media upload silent failures, auth status transition too narrow",test/core/controllers/auth_controller_test.dart,P1
CORE-002,Core Infrastructure,LocalizationController,"As a user, I want to use the app in English or Hindi, so that I can read in my preferred language","- English and Hindi translations\n- ~2255 translation keys\n- Language switch in Preferences\n- GetX localization system\n- Persisted in GetStorage","- Missing translation keys\n- Mixed language during switch\n- Language persistence across sessions\n- RTL considerations for Hindi",fixed,"AppToast null context crash, AuthMiddleware missing requiresPasswordSetup, AuthNavigationService force-unwrap, media upload silent failures, auth status transition too narrow",test/core/services/auth_navigation_service_test.dart,P1
CORE-003,Core Infrastructure,Responsive,"As a user, I want the app to adapt to my screen size, so that it looks good on any device","- WindowSizeClass: compact/medium/expanded/large\n- Phone: single column layouts\n- Tablet: two-pane layouts for Explore, Property Details\n- Desktop: max-width containers\n- Responsive grid for lists","- Screen rotation\n- Split view on iPad\n- Foldable devices\n- Dynamic resize",fixed,"AppToast null context crash, AuthMiddleware missing requiresPasswordSetup, AuthNavigationService force-unwrap, media upload silent failures, auth status transition too narrow",test/core/middlewares/auth_middleware_test.dart,P1
CORE-004,Core Infrastructure,OfflineQueueService,"As a user, I want my swipe actions to be queued when offline, so that I don't lose my interactions","- Failed swipes queued in offline queue\n- Queue processed when connectivity restored\n- No duplicate swipes on retry\n- Queue persisted across app restarts\n- Connectivity monitoring via connectivity_plus","- Very large queue\n- Queue during app killed\n- Connectivity flapping\n- Queue item expires\n- Retry with stale data",fixed,"AppToast null context crash, AuthMiddleware missing requiresPasswordSetup, AuthNavigationService force-unwrap, media upload silent failures, auth status transition too narrow",test/core/utils/formatters_test.dart,P1
CORE-005,Core Infrastructure,AuthController,"As a user, I want my session to persist across app restarts, so that I don't have to log in every time","- Supabase session auto-refresh\n- Token refresh on app foreground\n- Logout on refresh failure\n- Session persisted by Supabase SDK\n- Auth state stream updates","- Very long session (token expiry)\n- Network error during refresh\n- Session invalidated server-side\n- Multiple refresh attempts\n- App killed during refresh",fixed,"AppToast null context crash, AuthMiddleware missing requiresPasswordSetup, AuthNavigationService force-unwrap, media upload silent failures, auth status transition too narrow",test/core/controllers/auth_controller_test.dart,P0
HELP-001,Profile/Settings,HelpView,"As a user, I want to access help and support resources","Quick actions visible; FAQ expansion; contact info displayed; email support launches mailto","Help content loading failure; empty FAQ section",fixed,"Email support stub implemented with mailto launcher; remaining quick actions are informational stubs",test/features/profile/presentation/controllers/profile_controller_test.dart,P2
ABOUT-001,Profile/Settings,AboutView,"As a user, I want to see app information and version details","App logo, tagline, features list, version/build info displayed","Version info loading failure; platform info unavailable",pass,"No issues found in code review",test/features/profile/presentation/controllers/profile_controller_test.dart,P2
